,1100011004.avi
 gaze_0_x_mean_0.25,-0.058050919999999985
 gaze_0_y_mean_0.25,-0.17449121333333334
 gaze_0_z_mean_0.25,-0.9829226666666664
 gaze_1_x_mean_0.25,-0.20410248
 gaze_1_y_mean_0.25,-0.16275970666666667
 gaze_1_z_mean_0.25,-0.96529744
el1_x_i_mean_0.25,341.51199999999994
el1_x_o_mean_0.25,340.6093333333334
el1_y_i_mean_0.25,340.97633333333334
el1_y_o_mean_0.25,342.34822222222226
el2_x_i_mean_0.25,392.53766666666667
el2_x_o_mean_0.25,393.6467777777777
el2_y_i_mean_0.25,339.63466666666665
el2_y_o_mean_0.25,341.01599999999996
 pose_Tx_mean_0.25,57.5
 pose_Ty_mean_0.25,165.94
 pose_Tz_mean_0.25,627.2706666666667
 pose_Rx_mean_0.25,-0.2454133333333333
 pose_Ry_mean_0.25,0.17822666666666664
 pose_Rz_mean_0.25,0.03169333333333333
face_x_m_mean_0.25,367.38172549019606
face_x_s_mean_0.25,45.14155954194685
face_y_m_mean_0.25,397.3859607843137
face_y_s_mean_0.25,32.034776902614965
eyebrow_l_x_m_mean_0.25,337.9568
eyebrow_l_x_s_mean_0.25,14.133850880694355
eyebrow_l_y_m_mean_0.25,324.496
eyebrow_l_y_s_mean_0.25,3.823189398404942
eyebrow_r_x_m_mean_0.25,396.2512
eyebrow_r_x_s_mean_0.25,14.950188445838313
eyebrow_r_y_m_mean_0.25,321.59413333333333
eyebrow_r_y_s_mean_0.25,3.8772143528052094
nose_x_m_mean_0.25,365.3454814814815
nose_x_s_mean_0.25,6.389105433109129
nose_y_m_mean_0.25,366.9514074074073
nose_y_s_mean_0.25,15.532955462512252
eye_l_x_m_mean_0.25,340.6280000000001
eye_l_x_s_mean_0.25,7.417466188558954
eye_l_y_m_mean_0.25,342.39044444444437
eye_l_y_s_mean_0.25,2.9720234574048496
eye_r_x_m_mean_0.25,393.60866666666664
eye_r_x_s_mean_0.25,7.600249648011409
eye_r_y_m_mean_0.25,341.0531111111111
eye_r_y_s_mean_0.25,3.0629952617392098
mouth_x_m_mean_0.25,364.21777777777777
mouth_x_s_mean_0.25,13.837482162279654
mouth_y_m_mean_0.25,398.7877777777777
mouth_y_s_mean_0.25,7.498433918318348
 AU01_r_mean_0.25,0.031066666666666663
 AU02_r_mean_0.25,0.009466666666666668
 AU04_r_mean_0.25,0.6481333333333333
 AU05_r_mean_0.25,0.008666666666666666
 AU06_r_mean_0.25,0.0
 AU07_r_mean_0.25,0.15106666666666665
 AU09_r_mean_0.25,0.009733333333333335
 AU10_r_mean_0.25,0.2496
 AU12_r_mean_0.25,0.006666666666666667
 AU14_r_mean_0.25,0.5146666666666667
 AU15_r_mean_0.25,0.0812
 AU17_r_mean_0.25,0.16693333333333332
 AU20_r_mean_0.25,0.07853333333333334
 AU23_r_mean_0.25,0.023066666666666662
 AU25_r_mean_0.25,0.09346666666666667
 AU26_r_mean_0.25,0.2604
 AU45_r_mean_0.25,0.11253333333333332
0_x_mean_0.25,285.4820933333333
0_y_mean_0.25,372.36416
1_x_mean_0.25,265.69052
1_y_mean_0.25,429.1026533333333
2_x_mean_0.25,201.2381733333333
2_y_mean_0.25,417.9389466666667
3_x_mean_0.25,0.0
3_y_mean_0.25,0.0
5_x_mean_0.25,112.01126666666669
5_y_mean_0.25,194.65628
6_x_mean_0.25,0.0
6_y_mean_0.25,0.0
15_x_mean_0.25,267.1773733333333
15_y_mean_0.25,355.86054666666666
16_x_mean_0.25,300.3944266666667
16_y_mean_0.25,354.8821200000001
17_x_mean_0.25,242.69548
17_y_mean_0.25,367.44437333333326
18_x_mean_0.25,275.4342
18_y_mean_0.25,291.50858666666664
 gaze_0_x_std_0.25,0.003275949508570409
 gaze_0_y_std_0.25,0.0058987632517180965
 gaze_0_z_std_0.25,0.0009617124975417119
 gaze_1_x_std_0.25,0.003412208337639929
 gaze_1_y_std_0.25,0.006373309070442714
 gaze_1_z_std_0.25,0.0009615791240932172
el1_x_i_std_0.25,0.9762756727426868
el1_x_o_std_0.25,0.9685142331529308
el1_y_i_std_0.25,0.6382963141713133
el1_y_o_std_0.25,0.6436267788326062
el2_x_i_std_0.25,1.0199332858857224
el2_x_o_std_0.25,1.0167736368674416
el2_y_i_std_0.25,0.7551220741355903
el2_y_o_std_0.25,0.7665549761964395
 pose_Tx_std_0.25,1.0111540102439551
 pose_Ty_std_0.25,0.7128170228804214
 pose_Tz_std_0.25,1.499258675671599
 pose_Rx_std_0.25,0.008389332565877988
 pose_Ry_std_0.25,0.005921954875676575
 pose_Rz_std_0.25,0.005172623709108951
face_x_m_std_0.25,0.6473771245820257
face_x_s_std_0.25,0.059007450864152364
face_y_m_std_0.25,0.752153859367702
face_y_s_std_0.25,0.25717095388659583
eyebrow_l_x_m_std_0.25,1.0654324841952114
eyebrow_l_x_s_std_0.25,0.09818943165371308
eyebrow_l_y_m_std_0.25,0.6593444738034426
eyebrow_l_y_s_std_0.25,0.0471787564288763
eyebrow_r_x_m_std_0.25,1.1054129227260407
eyebrow_r_x_s_std_0.25,0.10066720286388932
eyebrow_r_y_m_std_0.25,0.7958322064988936
eyebrow_r_y_s_std_0.25,0.03987559710562008
nose_x_m_std_0.25,0.9935833057994315
nose_x_s_std_0.25,0.0370443512163096
nose_y_m_std_0.25,0.9485210962587064
nose_y_s_std_0.25,0.07849805124960747
eye_l_x_m_std_0.25,0.9670943446590178
eye_l_x_s_std_0.25,0.02917420931221018
eye_l_y_m_std_0.25,0.6441418467377452
eye_l_y_s_std_0.25,0.020711221547262883
eye_r_x_m_std_0.25,1.0164205875575347
eye_r_x_s_std_0.25,0.027112526446581325
eye_r_y_m_std_0.25,0.76492994307833
eye_r_y_s_std_0.25,0.02443100016268087
mouth_x_m_std_0.25,0.8059502502051933
mouth_x_s_std_0.25,0.06052708785781882
mouth_y_m_std_0.25,1.0402633189595658
mouth_y_s_std_0.25,0.06892087421825706
 AU01_r_std_0.25,0.042444664559277055
 AU02_r_std_0.25,0.01909388846140504
 AU04_r_std_0.25,0.09144032662525507
 AU05_r_std_0.25,0.033584638272995106
 AU06_r_std_0.25,0.0
 AU07_r_std_0.25,0.15503768794936498
 AU09_r_std_0.25,0.013849903242254793
 AU10_r_std_0.25,0.14589370436373522
 AU12_r_std_0.25,0.013589874343962298
 AU14_r_std_0.25,0.19008058983134132
 AU15_r_std_0.25,0.07353910524340095
 AU17_r_std_0.25,0.10390969745517126
 AU20_r_std_0.25,0.09524780388095122
 AU23_r_std_0.25,0.036315931033732936
